學年度	開課系所代碼	開課系所名稱	科目代碼	科目中文名稱	科目英文名稱	必選修	全/半	上學期學分	下學期學分	上學期正課時數	上學期實驗時數	下學期正課時數	下學期實驗時數	停開	
113	HM75 	電機系（碩）	AEC8034 	射頻主動電路設計與量測實務	Design and Measurement Techniques of RF Active Circuits	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HD75 	電機系（博）	AEC8035 	電腦網路	Computer Networks	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HM75 	電機系（碩）	AEC8035 	電腦網路	Computer Networks	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HD75 	電機系（博）	AEC8036 	通訊系統應用	Applications of Communications Systems	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HM75 	電機系（碩）	AEC8036 	通訊系統應用	Applications of Communications Systems	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HD75 	電機系（博）	AEC8037 	最佳控制	Optimal Control	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HM75 	電機系（碩）	AEC8037 	最佳控制	Optimal Control	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HD75 	電機系（博）	AEC8038 	機器人控制	Robotic Control	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HM75 	電機系（碩）	AEC8038 	機器人控制	Robotic Control	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HD75 	電機系（博）	AEC8039 	現代控制系統	Modern Control Systems	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HM75 	電機系（碩）	AEC8039 	現代控制系統	Modern Control Systems	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HD75 	電機系（博）	AEC8040 	積體電路可靠度	Reliability of Integrated Circuits	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HM75 	電機系（碩）	AEC8040 	積體電路可靠度	Reliability of Integrated Circuits	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HD75 	電機系（博）	AEC8041 	積體電路與靜電放電防護設計實務	IC and ESD Protection Design	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HM75 	電機系（碩）	AEC8041 	積體電路與靜電放電防護設計實務	IC and ESD Protection Design	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HD75 	電機系（博）	AEC8042 	電機控制	Electric Machine Control	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HM75 	電機系（碩）	AEC8042 	電機控制	Electric Machine Control	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HD75 	電機系（博）	AEC8043 	非線性控制	Nonlinear Control	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HM75 	電機系（碩）	AEC8043 	非線性控制	Nonlinear Control	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HD75 	電機系（博）	AEC8044 	類神經網路	Artificial Neural Network	選修	半	3.0	0.0	3.0	0.0		0.0	 	
113	HM75 	電機系（碩）	AEC8044 	類神經網路	Artificial Neural Network	選修	半	3.0	0.0	3.0	0.0		0.0	 	
113	HD75 	電機系（博）	AEC8045 	多輸入多輸出通訊傳收機設計與實作	MIMO Communication Transceiver Design and Implementation	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HM75 	電機系（碩）	AEC8045 	多輸入多輸出通訊傳收機設計與實作	MIMO Communication Transceiver Design and Implementation	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HD75 	電機系（博）	AEC8047 	超大型積體電路設計	VLSI Design	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
