學年度	開課系所代碼	開課系所名稱	科目代碼	科目中文名稱	科目英文名稱	必選修	全/半	上學期學分	下學期學分	上學期正課時數	上學期實驗時數	下學期正課時數	下學期實驗時數	停開
114	LM25 	翻譯所（碩）	TIC8011 	拉丁文與翻譯 （一）	Latin and Translation (I)	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	
114	LD25 	翻譯所（博）	TIC8012 	拉丁文與翻譯 （二）	Latin and Translation (II)	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	
114	LM25 	翻譯所（碩）	TIC8012 	拉丁文與翻譯 （二）	Latin and Translation (II)	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	
114	LD25 	翻譯所（博）	TIC8013 	台灣翻譯史	History of Translation in Taiwan	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	
114	LM25 	翻譯所（碩）	TIC8013 	台灣翻譯史	History of Translation in Taiwan	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	
114	LD25 	翻譯所（博）	TIC8014 	翻譯與文化研究	Translation and Cultural Studies	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	
114	LM25 	翻譯所（碩）	TIC8014 	翻譯與文化研究	Translation and Cultural Studies	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	
114	LD25 	翻譯所（博）	TIC8015 	財經法律翻譯	Translation of Financial Law Texts	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	
114	LM25 	翻譯所（碩）	TIC8015 	財經法律翻譯	Translation of Financial Law Texts	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	
114	LD25 	翻譯所（博）	TIC8016 	專利翻譯	Translation of Patents into English	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	
114	LM25 	翻譯所（碩）	TIC8016 	專利翻譯	Translation of Patents into English	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	
114	LD25 	翻譯所（博）	TIC8017 	文史哲翻譯	"Translation of Cultural, Literary, Historical and Philosophical Texts"	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	
114	LM25 	翻譯所（碩）	TIC8017 	文史哲翻譯	"Translation of Cultural, Literary, Historical and Philosophical Texts"	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	
114	LD25 	翻譯所（博）	TIC8018 	《西遊記》及其英譯的問題（一）	The Xiyou Ji: Its Problems and Its English Translation (I)	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	
114	LM25 	翻譯所（碩）	TIC8018 	《西遊記》及其英譯的問題（一）	The Xiyou Ji: Its Problems and Its English Translation (I)	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	
114	LD25 	翻譯所（博）	TIC8019 	《西遊記》及其英譯的問題（二）	The Xiyou Ji: Its Problems and Its English Translation (II)	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	
114	LM25 	翻譯所（碩）	TIC8019 	《西遊記》及其英譯的問題（二）	The Xiyou Ji: Its Problems and Its English Translation (II)	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	
114	LD25 	翻譯所（博）	TIC8020 	進階拉丁文（一）	Intermediate Latin (I)	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	
114	LM25 	翻譯所（碩）	TIC8020 	進階拉丁文（一）	Intermediate Latin (I)	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	
114	LD25 	翻譯所（博）	TIC8021 	進階拉丁文（二）	Intermediate Latin (II)	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	
114	LM25 	翻譯所（碩）	TIC8021 	進階拉丁文（二）	Intermediate Latin (II)	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	
114	LD25 	翻譯所（博）	TIC8022 	基礎譯後編輯（中譯英）	Basic Post-Editing of English Translation Texts	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	
114	LM25 	翻譯所（碩）	TIC8022 	基礎譯後編輯（中譯英）	Basic Post-Editing of English Translation Texts	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	
114	LD25 	翻譯所（博）	TIC8023 	臺灣小說英譯專題	Chinese Stories and Novels from Taiwan: Translations and Interpretations	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	
114	LM25 	翻譯所（碩）	TIC8023 	臺灣小說英譯專題	Chinese Stories and Novels from Taiwan: Translations and Interpretations	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	
114	LD25 	翻譯所（博）	TIC8024 	文學翻譯：理論、批評、創作	"Literary Translation: Theory, Criticism, and Workshop"	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	
114	LM25 	翻譯所（碩）	TIC8024 	文學翻譯：理論、批評、創作	"Literary Translation: Theory, Criticism, and Workshop"	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	
114	LD25 	翻譯所（博）	TIC8025 	世界文學與翻譯	World Literature and Translation	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	
114	LM25 	翻譯所（碩）	TIC8025 	世界文學與翻譯	World Literature and Translation	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	
114	LD25 	翻譯所（博）	TIC8026 	翻譯科技	Translation Technology	選修	半	3.0		3.0	0.0			
114	LM25 	翻譯所（碩）	TIC8026 	翻譯科技	Translation Technology	選修	半	3.0		3.0	0.0			
114	LD25 	翻譯所（博）	TIC8027 	翻譯科技（一）：語料庫建置	Translation Technology (I) : Corpus Construction	選修	半	3.0		3.0	0.0			
114	LM25 	翻譯所（碩）	TIC8027 	翻譯科技（一）：語料庫建置	Translation Technology (I) : Corpus Construction	選修	半	3.0		3.0	0.0			
114	LD25 	翻譯所（博）	TIC8028 	翻譯科技（二）：大型語言模型	Translation Technology (II) : Large Language Models	選修	半	3.0		3.0	0.0			
114	LM25 	翻譯所（碩）	TIC8028 	翻譯科技（二）：大型語言模型	Translation Technology (II) : Large Language Models	選修	半	3.0		3.0	0.0			
114	LM25 	翻譯所（碩）	TIC9001 	基礎口筆譯入門	Introduction to Translation and Interpretation	必修	半	3.0	0.0	3.0	0.0	0.0	0.0	
114	LU25 	翻譯所（學）	TIC9001 	基礎口筆譯入門	Introduction to Translation and Interpretation	必修	半	3.0	0.0	3.0	0.0	0.0	0.0	
114	LM25 	翻譯所（碩）	TIC9002 	中英筆譯（一）	Translation (I)	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	 
114	LU25 	翻譯所（學）	TIC9002 	中英筆譯（一）	Translation (I)	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	
114	LM25 	翻譯所（碩）	TIC9003 	中英筆譯（二）	Translation (II)	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	 
114	LU25 	翻譯所（學）	TIC9003 	中英筆譯（二）	Translation (II)	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	
114	LM25 	翻譯所（碩）	TIC9004 	翻譯賞析	Readings in Translated Works	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	
114	LU25 	翻譯所（學）	TIC9004 	翻譯賞析	Readings in Translated Works	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	
114	LM25 	翻譯所（碩）	TIC9005 	中英口譯（一）	Interpreting (I)	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	 
114	LU25 	翻譯所（學）	TIC9005 	中英口譯（一）	Interpreting (I)	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	
114	LM25 	翻譯所（碩）	TIC9006 	中英口譯（二）	Interpreting (II)	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	 
114	LU25 	翻譯所（學）	TIC9006 	中英口譯（二）	Interpreting (II)	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	
114	LD25 	翻譯所（博）	TID0020 	比較文學與翻譯	Comparative Literature and Translation	選修	半	3.0	3.0	3.0	0.0	3.0	0.0	
114	LD25 	翻譯所（博）	TID0021 	翻譯與後現代理論	Translation and Post-modernism	選修	半	3.0	3.0	3.0	0.0	3.0	0.0	
114	LD25 	翻譯所（博）	TID0031 	翻譯教學實務專題	Practical Issues in the Teaching of Translation & Interpretation	選修	半	3.0	3.0	3.0	0.0	3.0	0.0	
114	LD25 	翻譯所（博）	TID0035 	詮釋學導論	Introduction to Hermeneutics	選修	半	3.0	3.0	3.0	0.0	3.0	0.0	
114	LD25 	翻譯所（博）	TID0036 	筆譯理論	Theories of Translation	選修	半	3.0	3.0	3.0	0.0	3.0	0.0	
114	LD25 	翻譯所（博）	TID0037 	口譯理論	Theories of Interpretation	選修	半	3.0	3.0	3.0	0.0	3.0	0.0	
114	LD25 	翻譯所（博）	TID0039 	文化科技及產業政策	Cultural Technology and Industrial Policy	選修	半	3.0	3.0	3.0	0.0	3.0	0.0	
114	LD25 	翻譯所（博）	TID0040 	比較修辭學	Comparative Rhetoric	選修	半	3.0	3.0	3.0	0.0	3.0	0.0	
114	LD25 	翻譯所（博）	TID0041 	筆譯教材教法	Materials and Methods of Translation Teaching	選修	半	3.0	3.0	3.0	0.0	3.0	0.0	
114	LD25 	翻譯所（博）	TID0046 	明末翻譯文學	Literary Translations in Late-ming China	選修	半	3.0	3.0	3.0	0.0	3.0	0.0	
